ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
JUTGEK,-130.7,1.6204,222.1,8106,27.8,[O-][N+](=O)CC[N+](=O)[O-]
JUVMIW01,-161.6,1.7131,151.7,7707,26.1,[O-][N+](=O)C1(C[C@H]2C[C@@H]1CC2([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUVMUI,-216.6,1.6372,150.7,7264,22.5,[O-][N+](=O)C1(C[C@@H]2[C@H](C1)CC(C2)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUVNAP,-226,1.7225,156.2,7918,27.6,[O-][N+](=O)C1(CCC(CC1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUXBOV,-192.1,1.4794,301.9,5667,12.8,CONC(=O)Nc1ccc(cc1)[N+](=O)[O-]
KABGIF,-296.3,1.3766,308,4668,8.3,COc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1OC(=O)C
KABNEI,271.8,1.5383,231.7,5633,13,N#Cc1ccc(cc1)/C=C\c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KADZEU,-284.4,1.4631,303.1,4549,8.2,O=C(c1ccccc1O)Nc1ccc(cc1)[N+](=O)[O-]
KADZIY,-284.4,1.425,303.1,4472,7.8,O=C(c1ccccc1O)Nc1ccc(cc1)[N+](=O)[O-]
KAGDEB,87.8,1.3067,263.8,4059,6,CN/C(=C(/c1ccccc1)\[N+](=O)[O-])/c1ccccc1
KAHHUY,152.9,1.8716,260.1,8556,33.9,[O-][N+](=O)c1c(N)[nH]nc1[N+](=O)[O-]
KAHSAP,-66.7,1.484,301.6,4724,8.9,O=C(c1ccccn1)Nc1ccc(cc1)[N+](=O)[O-]
KAJFAD,22.4,1.4571,296.6,5959,14,[O-][N+](=O)C1=C/C(=[NH+]\CC)/[N+](=O)C=C1
KAKNEP,-195.9,1.275,297.1,4052,5.9,CCc1ccc(nc1)C[C@@H](c1ccc(cc1)[N+](=O)[O-])O
KAPCAF,-38.6,1.3412,306.6,4423,7.3,[O-][N+](=O)c1ccc2c(c1)c(C)c([nH]2)C
KARJOC,179,1.4616,306.2,4545,8.2,[O-][N+](=O)c1ccc2c(c1)C(=NCN2)c1ccccc1
KASBAH,262.6,1.3896,107,5380,11,N#CN([N+](=O)[O-])Cc1ccccc1
KASBEL,375.3,1.5269,101.9,7028,20.1,N#CN([N+](=O)[O-])CCCCN([N+](=O)[O-])C#N
KATCIS,12.1,1.4407,284,5084,10.1,O=C(c1ccc(cc1)[N+](=O)[O-])CCn1ncnc1
KATGAO,-109.7,1.4963,295.8,4878,9.6,O=C(c1ccccc1)N/N=C/c1cc(ccc1O)[N+](=O)[O-]
KATNID,115.7,1.277,288.3,4058,5.9,Cc1ccc(cc1)/N=C/c1cccc(c1)[N+](=O)[O-]
KAVFUI01,176.4,1.7532,126.4,8247,30.3,[O-][N+](=O)n1cnc(c1)[N+](=O)[O-]
KAWQAD,-261.5,1.3594,289,4209,6.7,COc1ccc(cc1)n1c(C=O)cc(c1c1ccc(cc1)[N+](=O)[O-])C=O
KAWTOR,-147.1,1.4026,291.8,4804,8.9,OCc1cccc(c1)N(Cc1cccc(c1)[N+](=O)[O-])O
KAXLOK,-236.7,1.2595,311.9,4964,8.7,COC[C@@H]1CCCN1/C=C(/[N+](=O)[O-])\C
KAXLOL,-44.6,1.5935,228.7,6724,18.9,[O-][N+](=O)c1cc(C)c(c(c1C)[N+](=O)[O-])[N+](=O)[O-]
KAYTUZ,-3.2,1.3565,312,5138,9.9,NCCNc1ccc(cc1)[N+](=O)[O-]
